Type,Group,Amount,Fish,Taxa
Copper,Minerals,0.09,Atlantic herring,Small pelagics
Manganese,Minerals,0.04,Atlantic herring,Small pelagics
Selenium,Minerals,36.5,Atlantic herring,Small pelagics
Vitamins,Minerals,,Atlantic herring,Small pelagics
Vitamin C,Minerals,0.7,Atlantic herring,Small pelagics
"Thiamin,",Minerals,0.09,Atlantic herring,Small pelagics
"Riboflavin,",Minerals,0.23,Atlantic herring,Small pelagics
"Niacin,",Minerals,3.22,Atlantic herring,Small pelagics
Pantothenic,Minerals,0.65,Atlantic herring,Small pelagics
Vitamin B6,Minerals,0.3,Atlantic herring,Small pelagics
"Folate,",Minerals,10,Atlantic herring,Small pelagics
"Choline,",Minerals,65,Atlantic herring,Small pelagics
Vitamin B12,Minerals,13.67,Atlantic herring,Small pelagics
Vitamin A,Minerals,93,Atlantic herring,Small pelagics
Vitamin E,Minerals,1.07,Atlantic herring,Small pelagics
Vitamin D,Minerals,167,Atlantic herring,Small pelagics
Vitamin K,Minerals,0.1,Atlantic herring,Small pelagics
"Water,",Water,71.52,Pacific herring,Small pelagics
"Energy,",Energy,195,Pacific herring,Small pelagics
Protein (N x 6.25),Protein,16.39,Pacific herring,Small pelagics
Total lipid (fat),Fat,13.88,Pacific herring,Small pelagics
"Tryptophan,",Amino acids,0.184,Pacific herring,Small pelagics
"Threonine,",Amino acids,0.719,Pacific herring,Small pelagics
"Isoleucine,",Amino acids,0.755,Pacific herring,Small pelagics
"Leucine,",Amino acids,1.332,Pacific herring,Small pelagics
"Lysine,",Amino acids,1.506,Pacific herring,Small pelagics
"Methionine,",Amino acids,0.485,Pacific herring,Small pelagics
"Cystine,",Amino acids,0.176,Pacific herring,Small pelagics
"Phenylalanine,",Amino acids,0.64,Pacific herring,Small pelagics
"Tyrosine,",Amino acids,0.553,Pacific herring,Small pelagics
"Valine,",Amino acids,0.845,Pacific herring,Small pelagics
"Arginine,",Amino acids,0.981,Pacific herring,Small pelagics
"Histidine,",Amino acids,0.483,Pacific herring,Small pelagics
"Alanine,",Amino acids,0.991,Pacific herring,Small pelagics
Aspartic,Amino acids,1.679,Pacific herring,Small pelagics
Glutamic,Amino acids,2.447,Pacific herring,Small pelagics
"Glycine,",Amino acids,0.787,Pacific herring,Small pelagics
"Proline,",Amino acids,0.58,Pacific herring,Small pelagics
"Serine,",Amino acids,0.669,Pacific herring,Small pelagics
Total amino acids,Amino acids,15.81,Pacific herring,Small pelagics
Saturated,Lipids,3.257,Pacific herring,Small pelagics
Monounsaturated,Lipids,6.872,Pacific herring,Small pelagics
Polyunsaturated,Lipids,2.423,Pacific herring,Small pelagics
"(EPA),",Lipids,969,Pacific herring,Small pelagics
"(DHA),",Lipids,689,Pacific herring,Small pelagics
Cholesterol,Lipids,77,Pacific herring,Small pelagics
Calcium,Minerals,83,Pacific herring,Small pelagics
Iron,Minerals,1.12,Pacific herring,Small pelagics
Magnesium,Minerals,76,Pacific herring,Small pelagics
Phosphorus,Minerals,228,Pacific herring,Small pelagics
Potassium,Minerals,423,Pacific herring,Small pelagics
Sodium,Minerals,74,Pacific herring,Small pelagics
Zinc,Minerals,0.53,Pacific herring,Small pelagics
Copper,Minerals,0.08,Pacific herring,Small pelagics
Manganese,Minerals,0.05,Pacific herring,Small pelagics
Selenium,Minerals,36.5,Pacific herring,Small pelagics
Vitamins,Minerals,,Pacific herring,Small pelagics
Vitamin C,Minerals,0,Pacific herring,Small pelagics
"Thiamin,",Minerals,0.06,Pacific herring,Small pelagics
"Riboflavin,",Minerals,0.2,Pacific herring,Small pelagics
"Niacin,",Minerals,2.2,Pacific herring,Small pelagics
Pantothenic,Minerals,1,Pacific herring,Small pelagics
Vitamin B6,Minerals,0.45,Pacific herring,Small pelagics
"Folate,",Minerals,5,Pacific herring,Small pelagics
"Choline,",Minerals,NA,Pacific herring,Small pelagics
Vitamin B12,Minerals,10,Pacific herring,Small pelagics
Vitamin A,Minerals,106,Pacific herring,Small pelagics
Vitamin E,Minerals,NA,Pacific herring,Small pelagics
Vitamin D,Minerals,NA,Pacific herring,Small pelagics
Vitamin K,Minerals,NA,Pacific herring,Small pelagics
"Water,",Water,63.55,Atlantic mackerel,Small pelagics
"Energy,",Energy,205,Atlantic mackerel,Small pelagics
Protein (N x 6.25),Protein,18.6,Atlantic mackerel,Small pelagics
Total lipid (fat),Fat,13.89,Atlantic mackerel,Small pelagics
"Tryptophan,",Amino acids,0.208,Atlantic mackerel,Small pelagics
"Threonine,",Amino acids,0.815,Atlantic mackerel,Small pelagics
"Isoleucine,",Amino acids,0.857,Atlantic mackerel,Small pelagics
"Leucine,",Amino acids,1.512,Atlantic mackerel,Small pelagics
"Lysine,",Amino acids,1.708,Atlantic mackerel,Small pelagics
"Methionine,",Amino acids,0.551,Atlantic mackerel,Small pelagics
"Cystine,",Amino acids,0.199,Atlantic mackerel,Small pelagics
"Phenylalanine,",Amino acids,0.726,Atlantic mackerel,Small pelagics
"Tyrosine,",Amino acids,0.628,Atlantic mackerel,Small pelagics
"Valine,",Amino acids,0.958,Atlantic mackerel,Small pelagics
"Arginine,",Amino acids,1.113,Atlantic mackerel,Small pelagics
"Histidine,",Amino acids,0.548,Atlantic mackerel,Small pelagics
"Alanine,",Amino acids,1.125,Atlantic mackerel,Small pelagics
Aspartic,Amino acids,1.905,Atlantic mackerel,Small pelagics
Glutamic,Amino acids,2.777,Atlantic mackerel,Small pelagics
"Glycine,",Amino acids,0.893,Atlantic mackerel,Small pelagics
"Proline,",Amino acids,0.658,Atlantic mackerel,Small pelagics
"Serine,",Amino acids,0.759,Atlantic mackerel,Small pelagics
Total amino acids,Amino acids,17.94,Atlantic mackerel,Small pelagics
Saturated,Lipids,3.257,Atlantic mackerel,Small pelagics
Monounsaturated,Lipids,5.456,Atlantic mackerel,Small pelagics
Polyunsaturated,Lipids,3.35,Atlantic mackerel,Small pelagics
"(EPA),",Lipids,898,Atlantic mackerel,Small pelagics
"(DHA),",Lipids,1401,Atlantic mackerel,Small pelagics
Cholesterol,Lipids,70,Atlantic mackerel,Small pelagics
Calcium,Minerals,12,Atlantic mackerel,Small pelagics
Iron,Minerals,1.63,Atlantic mackerel,Small pelagics
Magnesium,Minerals,33,Atlantic mackerel,Small pelagics
Phosphorus,Minerals,217,Atlantic mackerel,Small pelagics
Potassium,Minerals,314,Atlantic mackerel,Small pelagics
Sodium,Minerals,90,Atlantic mackerel,Small pelagics
Zinc,Minerals,0.63,Atlantic mackerel,Small pelagics
Copper,Minerals,0.07,Atlantic mackerel,Small pelagics
Manganese,Minerals,0.02,Atlantic mackerel,Small pelagics
Selenium,Minerals,44.1,Atlantic mackerel,Small pelagics
Vitamins,Minerals,,Atlantic mackerel,Small pelagics
Vitamin C,Minerals,0.4,Atlantic mackerel,Small pelagics
"Thiamin,",Minerals,0.18,Atlantic mackerel,Small pelagics
"Riboflavin,",Minerals,0.31,Atlantic mackerel,Small pelagics
"Niacin,",Minerals,9.08,Atlantic mackerel,Small pelagics
Pantothenic,Minerals,0.86,Atlantic mackerel,Small pelagics
Vitamin B6,Minerals,0.4,Atlantic mackerel,Small pelagics
"Folate,",Minerals,1,Atlantic mackerel,Small pelagics
"Choline,",Minerals,65,Atlantic mackerel,Small pelagics
Vitamin B12,Minerals,8.71,Atlantic mackerel,Small pelagics
Vitamin A,Minerals,167,Atlantic mackerel,Small pelagics
Vitamin E,Minerals,1.52,Atlantic mackerel,Small pelagics
Vitamin D,Minerals,643,Atlantic mackerel,Small pelagics
Vitamin K,Minerals,5,Atlantic mackerel,Small pelagics
"Water,",Water,71.67,Spanish mackerel,Large pelagics
"Energy,",Energy,139,Spanish mackerel,Large pelagics
Protein (N x 6.25),Protein,19.29,Spanish mackerel,Large pelagics
Total lipid (fat),Fat,6.3,Spanish mackerel,Large pelagics
"Tryptophan,",Amino acids,0.216,Spanish mackerel,Large pelagics
"Threonine,",Amino acids,0.846,Spanish mackerel,Large pelagics
"Isoleucine,",Amino acids,0.889,Spanish mackerel,Large pelagics
"Leucine,",Amino acids,1.568,Spanish mackerel,Large pelagics
"Lysine,",Amino acids,1.771,Spanish mackerel,Large pelagics
"Methionine,",Amino acids,0.571,Spanish mackerel,Large pelagics
"Cystine,",Amino acids,0.207,Spanish mackerel,Large pelagics
"Phenylalanine,",Amino acids,0.753,Spanish mackerel,Large pelagics
"Tyrosine,",Amino acids,0.651,Spanish mackerel,Large pelagics
"Valine,",Amino acids,0.994,Spanish mackerel,Large pelagics
"Arginine,",Amino acids,1.154,Spanish mackerel,Large pelagics
"Histidine,",Amino acids,0.568,Spanish mackerel,Large pelagics
"Alanine,",Amino acids,1.167,Spanish mackerel,Large pelagics
Aspartic,Amino acids,1.975,Spanish mackerel,Large pelagics
Glutamic,Amino acids,2.879,Spanish mackerel,Large pelagics
"Glycine,",Amino acids,0.926,Spanish mackerel,Large pelagics
"Proline,",Amino acids,0.682,Spanish mackerel,Large pelagics
"Serine,",Amino acids,0.787,Spanish mackerel,Large pelagics
Total amino acids,Amino acids,18.6,Spanish mackerel,Large pelagics
Saturated,Lipids,1.828,Spanish mackerel,Large pelagics
Monounsaturated,Lipids,1.53,Spanish mackerel,Large pelagics
Polyunsaturated,Lipids,1.739,Spanish mackerel,Large pelagics
"(EPA),",Lipids,329,Spanish mackerel,Large pelagics
"(DHA),",Lipids,1012,Spanish mackerel,Large pelagics
Cholesterol,Lipids,76,Spanish mackerel,Large pelagics
Calcium,Minerals,11,Spanish mackerel,Large pelagics
Iron,Minerals,0.44,Spanish mackerel,Large pelagics
Magnesium,Minerals,50,Spanish mackerel,Large pelagics
Phosphorus,Minerals,205,Spanish mackerel,Large pelagics
Potassium,Minerals,446,Spanish mackerel,Large pelagics
Sodium,Minerals,59,Spanish mackerel,Large pelagics
Zinc,Minerals,0.49,Spanish mackerel,Large pelagics
Copper,Minerals,0.06,Spanish mackerel,Large pelagics
Manganese,Minerals,0.01,Spanish mackerel,Large pelagics
Selenium,Minerals,36.5,Spanish mackerel,Large pelagics
Vitamins,Minerals,,Spanish mackerel,Large pelagics
Vitamin C,Minerals,1.6,Spanish mackerel,Large pelagics
"Thiamin,",Minerals,0.13,Spanish mackerel,Large pelagics
"Riboflavin,",Minerals,0.17,Spanish mackerel,Large pelagics
"Niacin,",Minerals,2.3,Spanish mackerel,Large pelagics
Pantothenic,Minerals,0.75,Spanish mackerel,Large pelagics
Vitamin B6,Minerals,0.4,Spanish mackerel,Large pelagics
"Folate,",Minerals,1,Spanish mackerel,Large pelagics
"Choline,",Minerals,50.5,Spanish mackerel,Large pelagics
Vitamin B12,Minerals,2.4,Spanish mackerel,Large pelagics
Vitamin A,Minerals,130,Spanish mackerel,Large pelagics
Vitamin E,Minerals,0.69,Spanish mackerel,Large pelagics
Vitamin D,Minerals,292,Spanish mackerel,Large pelagics
Vitamin K,Minerals,0.1,Spanish mackerel,Large pelagics
"Water,",Water,68.09,Bluefin tuna,Large pelagics
"Energy,",Energy,144,Bluefin tuna,Large pelagics
Protein (N x 6.25),Protein,23.33,Bluefin tuna,Large pelagics
Total lipid (fat),Fat,4.9,Bluefin tuna,Large pelagics
"Tryptophan,",Amino acids,0.261,Bluefin tuna,Large pelagics
"Threonine,",Amino acids,1.023,Bluefin tuna,Large pelagics
"Isoleucine,",Amino acids,1.075,Bluefin tuna,Large pelagics
"Leucine,",Amino acids,1.896,Bluefin tuna,Large pelagics
"Lysine,",Amino acids,2.142,Bluefin tuna,Large pelagics
"Methionine,",Amino acids,0.69,Bluefin tuna,Large pelagics
"Cystine,",Amino acids,0.25,Bluefin tuna,Large pelagics
"Phenylalanine,",Amino acids,0.911,Bluefin tuna,Large pelagics
"Tyrosine,",Amino acids,0.787,Bluefin tuna,Large pelagics
"Valine,",Amino acids,1.202,Bluefin tuna,Large pelagics
"Arginine,",Amino acids,1.396,Bluefin tuna,Large pelagics
"Histidine,",Amino acids,0.687,Bluefin tuna,Large pelagics
"Alanine,",Amino acids,1.411,Bluefin tuna,Large pelagics
Aspartic,Amino acids,2.388,Bluefin tuna,Large pelagics
Glutamic,Amino acids,3.482,Bluefin tuna,Large pelagics
"Glycine,",Amino acids,1.12,Bluefin tuna,Large pelagics
"Proline,",Amino acids,0.825,Bluefin tuna,Large pelagics
"Serine,",Amino acids,0.952,Bluefin tuna,Large pelagics
Total amino acids,Amino acids,22.5,Bluefin tuna,Large pelagics
Saturated,Lipids,1.257,Bluefin tuna,Large pelagics
Monounsaturated,Lipids,1.6,Bluefin tuna,Large pelagics
Polyunsaturated,Lipids,1.433,Bluefin tuna,Large pelagics
"(EPA),",Lipids,283,Bluefin tuna,Large pelagics
"(DHA),",Lipids,890,Bluefin tuna,Large pelagics
Cholesterol,Lipids,38,Bluefin tuna,Large pelagics
Calcium,Minerals,8,Bluefin tuna,Large pelagics
Iron,Minerals,1.02,Bluefin tuna,Large pelagics
Magnesium,Minerals,34,Bluefin tuna,Large pelagics
Phosphorus,Minerals,254,Bluefin tuna,Large pelagics
Potassium,Minerals,252,Bluefin tuna,Large pelagics
Sodium,Minerals,39,Bluefin tuna,Large pelagics
Zinc,Minerals,0.6,Bluefin tuna,Large pelagics
Copper,Minerals,0.09,Bluefin tuna,Large pelagics
Manganese,Minerals,0.02,Bluefin tuna,Large pelagics
Selenium,Minerals,36.5,Bluefin tuna,Large pelagics
Vitamins,Minerals,,Bluefin tuna,Large pelagics
Vitamin C,Minerals,0,Bluefin tuna,Large pelagics
"Thiamin,",Minerals,0.24,Bluefin tuna,Large pelagics
"Riboflavin,",Minerals,0.25,Bluefin tuna,Large pelagics
"Niacin,",Minerals,8.65,Bluefin tuna,Large pelagics
Pantothenic,Minerals,1.05,Bluefin tuna,Large pelagics
Vitamin B6,Minerals,0.46,Bluefin tuna,Large pelagics
"Folate,",Minerals,2,Bluefin tuna,Large pelagics
"Choline,",Minerals,65,Bluefin tuna,Large pelagics
Vitamin B12,Minerals,9.43,Bluefin tuna,Large pelagics
Vitamin A,Minerals,2183,Bluefin tuna,Large pelagics
Vitamin E,Minerals,1,Bluefin tuna,Large pelagics
Vitamin D,Minerals,227,Bluefin tuna,Large pelagics
Vitamin K,Minerals,0,Bluefin tuna,Large pelagics
"Water,",Water,70.58,Skipjack tuna,Large pelagics
"Energy,",Energy,103,Skipjack tuna,Large pelagics
Protein (N x 6.25),Protein,22,Skipjack tuna,Large pelagics
Total lipid (fat),Fat,1.01,Skipjack tuna,Large pelagics
"Tryptophan,",Amino acids,0.246,Skipjack tuna,Large pelagics
"Threonine,",Amino acids,0.964,Skipjack tuna,Large pelagics
"Isoleucine,",Amino acids,1.014,Skipjack tuna,Large pelagics
"Leucine,",Amino acids,1.788,Skipjack tuna,Large pelagics
"Lysine,",Amino acids,2.02,Skipjack tuna,Large pelagics
"Methionine,",Amino acids,0.651,Skipjack tuna,Large pelagics
"Cystine,",Amino acids,0.236,Skipjack tuna,Large pelagics
"Phenylalanine,",Amino acids,0.859,Skipjack tuna,Large pelagics
"Tyrosine,",Amino acids,0.743,Skipjack tuna,Large pelagics
"Valine,",Amino acids,1.133,Skipjack tuna,Large pelagics
"Arginine,",Amino acids,1.316,Skipjack tuna,Large pelagics
"Histidine,",Amino acids,0.648,Skipjack tuna,Large pelagics
"Alanine,",Amino acids,1.331,Skipjack tuna,Large pelagics
Aspartic,Amino acids,2.253,Skipjack tuna,Large pelagics
Glutamic,Amino acids,3.284,Skipjack tuna,Large pelagics
"Glycine,",Amino acids,1.056,Skipjack tuna,Large pelagics
"Proline,",Amino acids,0.778,Skipjack tuna,Large pelagics
"Serine,",Amino acids,0.898,Skipjack tuna,Large pelagics
Total amino acids,Amino acids,21.22,Skipjack tuna,Large pelagics
Saturated,Lipids,0.328,Skipjack tuna,Large pelagics
Monounsaturated,Lipids,0.19,Skipjack tuna,Large pelagics
Polyunsaturated,Lipids,0.315,Skipjack tuna,Large pelagics
"(EPA),",Lipids,71,Skipjack tuna,Large pelagics
"(DHA),",Lipids,185,Skipjack tuna,Large pelagics
Cholesterol,Lipids,47,Skipjack tuna,Large pelagics
Calcium,Minerals,29,Skipjack tuna,Large pelagics
Iron,Minerals,1.25,Skipjack tuna,Large pelagics
Magnesium,Minerals,35,Skipjack tuna,Large pelagics
Phosphorus,Minerals,222,Skipjack tuna,Large pelagics
Potassium,Minerals,407,Skipjack tuna,Large pelagics
Sodium,Minerals,37,Skipjack tuna,Large pelagics
Zinc,Minerals,0.82,Skipjack tuna,Large pelagics
Copper,Minerals,0.09,Skipjack tuna,Large pelagics
Manganese,Minerals,0.02,Skipjack tuna,Large pelagics
Selenium,Minerals,36.5,Skipjack tuna,Large pelagics
Vitamins,Minerals,,Skipjack tuna,Large pelagics
Vitamin C,Minerals,1,Skipjack tuna,Large pelagics
"Thiamin,",Minerals,0.03,Skipjack tuna,Large pelagics
"Riboflavin,",Minerals,0.1,Skipjack tuna,Large pelagics
"Niacin,",Minerals,15.4,Skipjack tuna,Large pelagics
Pantothenic,Minerals,0.42,Skipjack tuna,Large pelagics
Vitamin B6,Minerals,0.85,Skipjack tuna,Large pelagics
"Folate,",Minerals,9,Skipjack tuna,Large pelagics
"Choline,",Minerals,NA,Skipjack tuna,Large pelagics
Vitamin B12,Minerals,1.9,Skipjack tuna,Large pelagics
Vitamin A,Minerals,52,Skipjack tuna,Large pelagics
Vitamin E,Minerals,NA,Skipjack tuna,Large pelagics
Vitamin D,Minerals,NA,Skipjack tuna,Large pelagics
Vitamin K,Minerals,NA,Skipjack tuna,Large pelagics
"Water,",Water,74.03,Yellowfin tuna,Large pelagics
"Energy,",Energy,109,Yellowfin tuna,Large pelagics
Protein (N x 6.25),Protein,24.4,Yellowfin tuna,Large pelagics
Total lipid (fat),Fat,0.49,Yellowfin tuna,Large pelagics
"Tryptophan,",Amino acids,0.262,Yellowfin tuna,Large pelagics
"Threonine,",Amino acids,1.025,Yellowfin tuna,Large pelagics
"Isoleucine,",Amino acids,1.077,Yellowfin tuna,Large pelagics
"Leucine,",Amino acids,1.9,Yellowfin tuna,Large pelagics
"Lysine,",Amino acids,2.147,Yellowfin tuna,Large pelagics
"Methionine,",Amino acids,0.692,Yellowfin tuna,Large pelagics
"Cystine,",Amino acids,0.251,Yellowfin tuna,Large pelagics
"Phenylalanine,",Amino acids,0.913,Yellowfin tuna,Large pelagics
"Tyrosine,",Amino acids,0.789,Yellowfin tuna,Large pelagics
"Valine,",Amino acids,1.204,Yellowfin tuna,Large pelagics
"Arginine,",Amino acids,1.399,Yellowfin tuna,Large pelagics
"Histidine,",Amino acids,0.688,Yellowfin tuna,Large pelagics
"Alanine,",Amino acids,1.414,Yellowfin tuna,Large pelagics
Aspartic,Amino acids,2.394,Yellowfin tuna,Large pelagics
Glutamic,Amino acids,3.489,Yellowfin tuna,Large pelagics
"Glycine,",Amino acids,1.122,Yellowfin tuna,Large pelagics
"Proline,",Amino acids,0.827,Yellowfin tuna,Large pelagics
"Serine,",Amino acids,0.954,Yellowfin tuna,Large pelagics
Total amino acids,Amino acids,22.55,Yellowfin tuna,Large pelagics
Saturated,Lipids,0.172,Yellowfin tuna,Large pelagics
Monounsaturated,Lipids,0.116,Yellowfin tuna,Large pelagics
Polyunsaturated,Lipids,0.147,Yellowfin tuna,Large pelagics
"(EPA),",Lipids,12,Yellowfin tuna,Large pelagics
"(DHA),",Lipids,88,Yellowfin tuna,Large pelagics
Cholesterol,Lipids,39,Yellowfin tuna,Large pelagics
Calcium,Minerals,4,Yellowfin tuna,Large pelagics
Iron,Minerals,0.77,Yellowfin tuna,Large pelagics
Magnesium,Minerals,30,Yellowfin tuna,Large pelagics
Phosphorus,Minerals,278,Yellowfin tuna,Large pelagics
Potassium,Minerals,441,Yellowfin tuna,Large pelagics
Sodium,Minerals,45,Yellowfin tuna,Large pelagics
Zinc,Minerals,0.37,Yellowfin tuna,Large pelagics
Copper,Minerals,0.04,Yellowfin tuna,Large pelagics
Manganese,Minerals,0.01,Yellowfin tuna,Large pelagics
Selenium,Minerals,90.6,Yellowfin tuna,Large pelagics
Vitamins,Minerals,,Yellowfin tuna,Large pelagics
Vitamin C,Minerals,0,Yellowfin tuna,Large pelagics
"Thiamin,",Minerals,0.12,Yellowfin tuna,Large pelagics
"Riboflavin,",Minerals,0.12,Yellowfin tuna,Large pelagics
"Niacin,",Minerals,18.48,Yellowfin tuna,Large pelagics
Pantothenic,Minerals,0.28,Yellowfin tuna,Large pelagics
Vitamin B6,Minerals,0.93,Yellowfin tuna,Large pelagics
"Folate,",Minerals,2,Yellowfin tuna,Large pelagics
"Choline,",Minerals,65,Yellowfin tuna,Large pelagics
Vitamin B12,Minerals,2.08,Yellowfin tuna,Large pelagics
Vitamin A,Minerals,60,Yellowfin tuna,Large pelagics
Vitamin E,Minerals,0.24,Yellowfin tuna,Large pelagics
Vitamin D,Minerals,69,Yellowfin tuna,Large pelagics
Vitamin K,Minerals,0.1,Yellowfin tuna,Large pelagics
"Water,",Water,77.55,Dolphinfish,Large pelagics
"Energy,",Energy,85,Dolphinfish,Large pelagics
Protein (N x 6.25),Protein,18.5,Dolphinfish,Large pelagics
Total lipid (fat),Fat,0.7,Dolphinfish,Large pelagics
"Tryptophan,",Amino acids,0.207,Dolphinfish,Large pelagics
"Threonine,",Amino acids,0.811,Dolphinfish,Large pelagics
"Isoleucine,",Amino acids,0.852,Dolphinfish,Large pelagics
"Leucine,",Amino acids,1.504,Dolphinfish,Large pelagics
"Lysine,",Amino acids,1.699,Dolphinfish,Large pelagics
"Methionine,",Amino acids,0.548,Dolphinfish,Large pelagics
"Cystine,",Amino acids,0.198,Dolphinfish,Large pelagics
"Phenylalanine,",Amino acids,0.722,Dolphinfish,Large pelagics
"Tyrosine,",Amino acids,0.625,Dolphinfish,Large pelagics
"Valine,",Amino acids,0.953,Dolphinfish,Large pelagics
"Arginine,",Amino acids,1.107,Dolphinfish,Large pelagics
"Histidine,",Amino acids,0.545,Dolphinfish,Large pelagics
"Alanine,",Amino acids,1.119,Dolphinfish,Large pelagics
Aspartic,Amino acids,1.894,Dolphinfish,Large pelagics
Glutamic,Amino acids,2.762,Dolphinfish,Large pelagics
"Glycine,",Amino acids,0.888,Dolphinfish,Large pelagics
"Proline,",Amino acids,0.654,Dolphinfish,Large pelagics
"Serine,",Amino acids,0.755,Dolphinfish,Large pelagics
Total amino acids,Amino acids,17.84,Dolphinfish,Large pelagics
Saturated,Lipids,0.188,Dolphinfish,Large pelagics
Monounsaturated,Lipids,0.121,Dolphinfish,Large pelagics
